# {"t_start": 1687017264.059135, "env_id": "Ant-v2"} 
r,l,t
-388.592818,104,2.058518
-52.149892,24,2.080664
-142.699886,43,2.119198
-36.251632,14,2.132521
-84.644237,24,2.154989
-136.902324,33,2.184039
-49.643257,17,2.199152
-93.698809,31,2.226408
-541.002476,164,2.380279
-135.689932,35,2.41267
-165.586488,50,2.456852
-79.142869,29,2.482981
-48.094793,13,2.495064
-229.966872,85,2.57031
-84.520425,29,2.597102
-166.587393,43,2.63608
-416.565903,141,2.762469
-121.546711,33,2.793772
-263.01492,70,2.857686
-279.021968,96,2.942547
-128.930305,35,2.974471
-417.831214,121,3.083582
-125.408315,56,3.133138
-89.667085,21,3.152957
-324.673667,81,3.226523
-273.970759,77,3.297075
-61.820297,20,3.316078
-38.719859,15,3.330376
-252.575962,96,3.41544
-22.23797,13,3.428275
-130.498132,43,3.467892
-33.525802,11,3.478841
-245.972846,77,3.548108
-132.310445,47,3.589715
-43.476009,14,3.603251
-38.115964,18,3.620265
-2956.538038,1000,4.53438
-470.366579,138,4.659893
-2885.163168,1000,5.577591
-184.309134,72,5.642699
-99.203791,34,5.673669
-276.775046,104,5.767562
-51.27249,17,5.783054
-245.114593,62,5.838117
-31.991787,11,5.848537
-189.779642,64,5.907348
-159.974096,50,5.953609
-41.056967,13,5.966106
-414.473676,171,6.118115
-58.387789,22,6.13876
-3179.19262,1000,7.052894
-165.675885,57,7.105008
-251.229278,85,7.180239
-737.783267,246,7.401995
-68.733355,29,7.429028
-32.046873,15,7.443125
-45.050635,24,7.468439
-32.727545,18,7.486498
-85.65542,29,7.513166
-98.218907,29,7.540389
-135.0083,47,7.582348
-43.582111,18,7.598377
-2985.428685,1000,8.667044
-166.396715,67,8.740463
-113.931927,40,8.785288
-27.130162,8,8.794786
-161.289804,53,8.853419
-43.073416,17,8.873004
-49.952419,18,8.89363
-94.36857,25,8.921128
-169.842108,78,9.005239
-2959.748368,1000,10.126156
-162.985724,46,10.176142
-48.208312,11,10.189139
-137.084964,41,10.235271
-2998.860451,1000,11.236567
-361.823257,115,11.343207
-57.493458,19,11.360898
-2939.114654,1000,13.94896
-99.128647,29,13.975643
-95.354022,23,13.996543
-624.629679,236,14.205699
-86.875568,36,14.238461
-153.708546,55,14.288663
-197.412759,53,14.33455
-159.203497,66,14.393116
-69.378341,30,14.420984
-2994.604401,1000,15.32767
-90.598544,28,15.353836
-66.098338,24,15.38049
-255.764203,77,15.451371
-141.288436,55,15.499715
-166.938491,57,15.550628
-342.748694,121,15.658649
-23.28838,12,15.669533
-234.553559,62,15.728
-136.587205,58,15.780185
-168.734389,46,15.821417
-121.83859,51,15.867513
-197.406872,69,15.927568
-46.783772,17,15.94395
-186.456155,47,15.986112
-82.422156,37,16.019279
-236.009776,103,16.111389
-146.356904,47,16.152462
-135.035526,45,16.193545
-251.230282,98,16.282655
-42.260164,15,16.296777
-209.438696,62,16.35224
-60.955021,18,16.369302
-254.146616,85,16.444239
-120.189866,44,16.483603
-247.831857,74,16.550257
-34.646844,11,16.560477
-54.093345,15,16.574066
-27.380511,15,16.587501
-315.834824,123,16.698175
-68.911028,28,16.72436
-156.290161,61,16.778977
-58.085014,23,16.801322
-72.504269,21,16.820693
-127.886405,41,16.857177
-56.713401,21,16.876324
-175.846464,57,16.926764
-260.768664,59,16.980108
-133.157474,42,17.016496
-115.280191,50,17.060211
-91.558252,27,17.085749
-3023.895568,1000,17.988339
-50.168698,18,18.005708
-36.200684,11,18.016221
-106.968524,28,18.041857
-37.247593,13,18.053912
-2819.762947,1000,18.961098
-82.743521,32,18.991335
-90.702984,35,19.023423
-267.33694,85,19.097955
-115.237548,39,19.1329
-129.240099,35,19.164683
-59.678836,18,19.181743
-438.412187,173,19.335484
-40.124054,17,19.351428
-179.963712,57,19.402793
-190.657985,69,19.465069
-289.805678,95,19.548694
-42.209317,16,19.563546
-45.107468,15,19.57775
-77.780003,35,19.609088
-78.357245,29,19.635801
-362.872337,136,19.755146
-291.651701,104,19.848613
-51.377701,25,19.871767
-333.761569,134,19.991315
-2945.853485,1000,20.896523
-100.431838,29,20.92361
-129.192219,44,20.962737
-113.87824,25,20.985357
-41.578987,16,21.000555
-194.49657,55,21.05014
-57.150884,20,21.067807
-48.84045,19,21.084874
-151.638637,51,21.130535
-220.249661,72,21.195167
-120.041426,59,21.248096
-156.814628,65,21.305887
-58.284664,13,21.318049
-50.120723,16,21.333898
-41.880323,18,21.350626
-83.721127,22,21.370983
-56.600567,23,21.392242
-180.249732,59,21.444676
-367.973815,136,21.563219
-155.941347,45,21.604585
-94.632061,28,21.630222
-3028.454531,1000,23.588484
-280.293479,105,23.680628
-213.298264,68,23.742225
-108.739326,41,23.777584
-75.149031,25,23.800936
-183.716039,60,23.854628
-125.428958,43,23.893314
-75.365938,25,23.916379
-136.661098,40,23.95263
-132.808896,51,23.997494
-54.283877,18,24.014164
-131.215139,34,24.044792
-98.492732,43,24.083392
-175.53523,62,24.139086
-53.169607,15,24.153363
-95.059314,32,24.182402
-36.496532,17,24.198131
-112.44572,43,24.235764
-2771.710116,1000,25.138217
-48.649769,17,25.154659
-108.549967,24,25.176532
-25.394435,10,25.186161
-142.723776,54,25.23454
-202.100917,71,25.299069
-215.682213,71,25.361964
-207.796624,59,25.414572
-67.266183,29,25.441532
-133.320035,38,25.476154
-28.840001,11,25.486841
-246.97111,83,25.561192
-87.339019,29,25.587652
-29.590419,12,25.599149
-170.851545,57,25.650609
-70.413878,22,25.671106
-187.408278,60,25.725842
-74.417532,37,25.760013
-79.630607,33,25.78882
-131.204581,39,25.823545
-232.374018,91,25.903289
-100.180789,45,25.966527
-48.048297,12,25.977462
-54.348366,35,26.00801
-67.642901,24,26.0334
-73.561323,33,26.064414
-109.384437,39,26.100504
-174.377423,75,26.168361
-239.795487,92,26.25101
-215.274924,66,26.309693
-29.056053,12,26.320982
-93.767688,31,26.349627
-65.029285,21,26.36916
-40.697365,17,26.385684
-64.758294,36,26.41883
-156.556597,63,26.473052
-293.567051,75,26.540879
-41.765321,16,26.556167
-42.142607,12,26.567551
-2968.099275,1000,27.473432
-72.582464,43,27.512615
-167.937132,61,27.567711
-365.646927,142,27.693056
-104.579778,41,27.730048
-39.862411,15,27.744398
-197.388832,63,27.800834
-143.978371,51,27.845393
-123.2243,37,27.878996
-376.570927,115,27.983224
-144.69426,64,28.041488
-44.691019,23,28.062449
-44.920918,12,28.073804
-139.521548,43,28.112238
-169.559427,69,28.173834
-346.627215,106,28.267856
-106.479191,40,28.30393
-29.558001,16,28.319447
-137.368193,39,28.354646
-471.656713,149,28.487156
-231.135111,70,28.548547
-249.234051,88,28.626496
-98.742926,32,28.655993
-81.504912,23,28.677137
-126.675992,33,28.706419
-47.077896,22,28.725907
-358.749622,92,28.808117
