EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,Opt_KL,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,gamma,lam,meankl,optimgain,surrgain
168.875,-501.25058,78,78,0.01,11.609865188598633,9716,0.0,11.274762,0.0002587437629699707,0.99,0.98,0.006705736,0.026838679,0.026838679
74.1,-213.41484,96,174,0.01,21.69149422645569,19224,0.0,11.213343,-5.9604644775390625e-05,0.99,0.98,0.006413752,0.026591657,0.026591657
100.825,-294.35114,116,290,0.01,32.28579807281494,29510,0.0,11.1504,-1.239776611328125e-05,0.99,0.98,0.006159339,0.026980996,0.026980996
119.925,-330.60956,117,407,0.01,43.1109938621521,39993,0.0,11.103055,0.028409361839294434,0.99,0.98,0.0056974078,0.026900616,0.026900616
132.425,-370.19247,129,536,0.01,53.50292158126831,49978,0.0,11.070285,0.41460955142974854,0.99,0.98,0.0057157255,0.028270802,0.028270802
59.275,-153.78171,97,633,0.01,63.85201025009155,59473,0.0,11.019041,0.592261552810669,0.99,0.98,0.005454995,0.027550345,0.027550345
184.475,-499.0276,46,679,0.01,74.072256565094,69911,0.0,10.946254,0.5589583218097687,0.99,0.98,0.005657447,0.029322913,0.029322913
123.125,-327.75977,81,760,0.01,84.39649724960327,79036,0.0,10.894522,0.5804047286510468,0.99,0.98,0.0059396485,0.02984644,0.02984644
104.4,-269.97552,74,834,0.01,94.90726900100708,89742,0.0,10.839989,0.6320051848888397,0.99,0.98,0.0055251457,0.030405872,0.030405872
94.725,-243.26099,79,913,0.01,106.07708287239075,99527,0.0,10.787111,0.6594254970550537,0.99,0.98,0.0054067248,0.029724432,0.029724432
52.85,-129.4635,103,1016,0.01,117.645334482193,109932,0.0,10.757315,0.6605842411518097,0.99,0.98,0.0055409516,0.031517632,0.031517632
95.775,-236.48135,78,1094,0.01,129.20498967170715,119457,0.0,10.720824,0.7102775573730469,0.99,0.98,0.005849989,0.031225074,0.031225074
108.175,-270.22095,112,1206,0.01,139.33479690551758,129021,0.0,10.670863,0.7550172656774521,0.99,0.98,0.0059778616,0.033110768,0.033110768
132.35,-321.94604,72,1278,0.01,149.62468194961548,139564,0.0,10.626944,0.6961567997932434,0.99,0.98,0.0055756913,0.030824691,0.030824691
43.45,-103.93385,166,1444,0.01,160.08000779151917,149970,0.0,10.593404,0.5779527127742767,0.99,0.98,0.0054872083,0.031782765,0.031782765
71.5,-178.56027,105,1549,0.01,170.35523509979248,159559,0.0,10.540404,0.7496907413005829,0.99,0.98,0.0059221857,0.031846672,0.031846672
103.275,-247.65894,92,1641,0.01,181.33692622184753,169929,0.0,10.503387,0.681072324514389,0.99,0.98,0.0055428795,0.031906202,0.031906202
108.65,-244.46985,107,1748,0.01,191.48806047439575,179122,0.0,10.436641,0.7586358785629272,0.99,0.98,0.005852286,0.033266943,0.033266943
82.25,-185.94522,100,1848,0.01,201.62416553497314,189433,0.0,10.402957,0.7559248059988022,0.99,0.98,0.005579997,0.034277555,0.034277555
110.175,-238.92688,107,1955,0.01,211.7668969631195,199773,0.0,10.358388,0.7661237418651581,0.99,0.98,0.0055544907,0.032453764,0.032453764
108.625,-232.13358,87,2042,0.01,222.02355790138245,209241,0.0,10.326171,0.7712315022945404,0.99,0.98,0.005507736,0.035491437,0.035491437
92.575,-201.26067,133,2175,0.01,233.23284316062927,219475,0.0,10.28332,0.7857761830091476,0.99,0.98,0.00584403,0.034366567,0.034366567
121.375,-263.2662,73,2248,0.01,243.36502194404602,229955,0.0,10.2408495,0.7314466834068298,0.99,0.98,0.005696898,0.033035032,0.033035032
46.9,-97.817924,123,2371,0.01,253.5248565673828,239957,0.0,10.198606,0.7499320805072784,0.99,0.98,0.0056229997,0.033248577,0.033248577
113.375,-229.32596,97,2468,0.01,263.65059661865234,249861,0.0,10.165042,0.7796728312969208,0.99,0.98,0.0057467283,0.03445874,0.03445874
89.025,-182.6294,89,2557,0.01,274.06280732154846,259490,0.0,10.11829,0.7639867961406708,0.99,0.98,0.005734949,0.03398936,0.03398936
110.925,-222.677,86,2643,0.01,284.26314663887024,269978,0.0,10.070802,0.7065692245960236,0.99,0.98,0.0056457743,0.033775013,0.033775013
91.025,-178.85707,147,2790,0.01,294.3592302799225,279902,0.0,10.031252,0.7366317212581635,0.99,0.98,0.0058361976,0.03472894,0.03472894
63.575,-123.256004,86,2876,0.01,304.44871973991394,289274,0.0,9.980591,0.7536573857069016,0.99,0.98,0.0058027674,0.03558366,0.03558366
138.025,-267.80252,81,2957,0.01,314.5301411151886,299931,0.0,9.945839,0.7188648581504822,0.99,0.98,0.005647603,0.03545172,0.03545172
